"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"Gipuzkoa";"Administración pública";"1996";13153
"Gipuzkoa";"Administración pública";"2001";14685
"Gipuzkoa";"Administración pública";"2006";12691
"Gipuzkoa";"Administración pública";"2011";12908
"Gipuzkoa";"Administración pública";"2016";13765
"Gipuzkoa";"Educación";"1996";17057
"Gipuzkoa";"Educación";"2001";20724
"Gipuzkoa";"Educación";"2006";20008
"Gipuzkoa";"Educación";"2011";22589
"Gipuzkoa";"Educación";"2016";24712
"Gipuzkoa";"Actividades sanitarias y veterinarias;servicios sociales";"1996";13497
"Gipuzkoa";"Actividades sanitarias y veterinarias;servicios sociales";"2001";19058
"Gipuzkoa";"Actividades sanitarias y veterinarias;servicios sociales";"2006";21787
"Gipuzkoa";"Actividades sanitarias y veterinarias;servicios sociales";"2011";24444
"Gipuzkoa";"Actividades sanitarias y veterinarias;servicios sociales";"2016";25684
"Gipuzkoa";"Otras actividades sociales y servicios personales";"1996";8115
"Gipuzkoa";"Otras actividades sociales y servicios personales";"2001";9056
"Gipuzkoa";"Otras actividades sociales y servicios personales";"2006";13399
"Gipuzkoa";"Otras actividades sociales y servicios personales";"2011";12796
"Gipuzkoa";"Otras actividades sociales y servicios personales";"2016";14117
"Gipuzkoa";"Hogares que emplean personal doméstico";"1996";1496
"Gipuzkoa";"Hogares que emplean personal doméstico";"2001";6791
"Gipuzkoa";"Hogares que emplean personal doméstico";"2006";4502
"Gipuzkoa";"Hogares que emplean personal doméstico";"2011";4540
"Gipuzkoa";"Hogares que emplean personal doméstico";"2016";9265
"Gipuzkoa";"Organismos extraterritoriales";"1996";21
"Gipuzkoa";"Organismos extraterritoriales";"2001";15
"Gipuzkoa";"Organismos extraterritoriales";"2006";23
"Gipuzkoa";"Organismos extraterritoriales";"2011";13
"Gipuzkoa";"Organismos extraterritoriales";"2016";3
"Arabako Ibarrak / Valles Alaveses";"Total";"1996";1657
"Arabako Ibarrak / Valles Alaveses";"Total";"2001";2201
"Arabako Ibarrak / Valles Alaveses";"Total";"2006";2494
"Arabako Ibarrak / Valles Alaveses";"Total";"2011";2548
"Arabako Ibarrak / Valles Alaveses";"Total";"2016";2502
"Arabako Ibarrak / Valles Alaveses";"Agricultura, ganadería, caza, silvicultura";"1996";507
"Arabako Ibarrak / Valles Alaveses";"Agricultura, ganadería, caza, silvicultura";"2001";384
"Arabako Ibarrak / Valles Alaveses";"Agricultura, ganadería, caza, silvicultura";"2006";200
"Arabako Ibarrak / Valles Alaveses";"Agricultura, ganadería, caza, silvicultura";"2011";218
"Arabako Ibarrak / Valles Alaveses";"Agricultura, ganadería, caza, silvicultura";"2016";251
"Arabako Ibarrak / Valles Alaveses";"Pesca, acuicultura";"1996";5
"Arabako Ibarrak / Valles Alaveses";"Pesca, acuicultura";"2001";0
"Arabako Ibarrak / Valles Alaveses";"Pesca, acuicultura";"2006";1
"Arabako Ibarrak / Valles Alaveses";"Pesca, acuicultura";"2011";0
"Arabako Ibarrak / Valles Alaveses";"Pesca, acuicultura";"2016";0
"Arabako Ibarrak / Valles Alaveses";"Industrias extractivas";"1996";2
"Arabako Ibarrak / Valles Alaveses";"Industrias extractivas";"2001";5
"Arabako Ibarrak / Valles Alaveses";"Industrias extractivas";"2006";4
"Arabako Ibarrak / Valles Alaveses";"Industrias extractivas";"2011";3
"Arabako Ibarrak / Valles Alaveses";"Industrias extractivas";"2016";3
"Arabako Ibarrak / Valles Alaveses";"Industria manufacturera";"1996";389
"Arabako Ibarrak / Valles Alaveses";"Industria manufacturera";"2001";620
"Arabako Ibarrak / Valles Alaveses";"Industria manufacturera";"2006";631
"Arabako Ibarrak / Valles Alaveses";"Industria manufacturera";"2011";605
"Arabako Ibarrak / Valles Alaveses";"Industria manufacturera";"2016";592
"Arabako Ibarrak / Valles Alaveses";"Producción y distribución de energía electrica, gas y agua";"1996";14
"Arabako Ibarrak / Valles Alaveses";"Producción y distribución de energía electrica, gas y agua";"2001";20
